player_id,player_name,team_abbreviation,age,player_height,player_weight,college,country,draft_year,draft_round,draft_number,gp,pts,reb,ast,net_rating,oreb_pct,dreb_pct,usg_pct,ts_pct,ast_pct,season
647,Eric Gordon,HOU,33,190.5,97.52228000000001,Indiana,USA,2008,1,7,57,13.4,2,2.7,-5.1,0.009,0.055999999999999994,0.182,0.614,0.13699999999999998,2021-22
602,Duncan Robinson,MIA,26,200.66,97.52228000000001,Michigan,USA,Undrafted,Undrafted,Undrafted,73,13.5,3.2,1.4,7.5,0.005,0.099,0.157,0.684,0.068,2019-20
6369,Mikal Bridges,PHX,24,198.12,94.800728,Villanova,USA,2018,1,10,72,13.5,4.3,2.1,7.4,0.035,0.099,0.147,0.667,0.085,2020-21
881,Jakob Poeltl,SAS,26,215.9,111.13004,Utah,Austria,2016,1,9,68,13.5,9.3,2.8,3.4,0.125,0.184,0.182,0.613,0.131,2021-22
5666,Montrezl Harrell,LAL,27,200.66,108.86208,Louisville,USA,2015,2,32,69,13.5,6.2,1.1,1.4,0.1,0.16699999999999998,0.21100000000000002,0.65,0.078,2020-21
6210,Malik Monk,SAC,25,190.5,90.7184,Kentucky,USA,2017,1,11,77,13.5,2.6,3.9,1,0.019,0.097,0.247,0.5870000000000001,0.258,2022-23
502,Dennis Schroder,HOU,28,185.42,78.017824,None,Germany,2013,1,17,64,13.5,3.3,4.6,-1,0.018000000000000002,0.097,0.223,0.539,0.256,2021-22
6502,Tyler Herro,MIA,20,195.58,88.45044,Kentucky,USA,2019,1,13,55,13.5,4.1,2.2,-1.7,0.011000000000000001,0.131,0.213,0.55,0.131,2019-20
5106,Kelly Olynyk,HOU,30,210.82,108.86208,Gonzaga,Canada,2013,1,13,70,13.5,7,2.9,-2.5,0.043,0.196,0.19,0.61,0.151,2020-21
2649,LaMarcus Aldridge,BKN,35,210.82,113.398,University of Texas at Austin,USA,2006,1,2,26,13.5,4.5,1.9,-2.8,0.027000000000000003,0.14800000000000002,0.22399999999999998,0.556,0.109,2020-21
6496,Rui Hachimura,WAS,22,203.2,104.32616,Gonzaga,Japan,2019,1,9,48,13.5,6.1,1.8,-8.2,0.051,0.155,0.18899999999999997,0.535,0.088,2019-20
293,Chris Boucher,TOR,28,205.74,90.7184,Oregon,Saint Lucia,Undrafted,Undrafted,Undrafted,60,13.6,6.7,1.1,3.8,0.078,0.192,0.20199999999999999,0.634,0.068,2020-21
3419,Kevin Love,CLE,33,203.2,113.851592,UCLA,USA,2008,1,5,74,13.6,7.2,2.2,1.5,0.051,0.258,0.239,0.594,0.153,2021-22
587,Doug McDermott,IND,29,200.66,102.0582,Creighton,USA,2014,1,11,66,13.6,3.3,1.3,-1.8,0.036000000000000004,0.096,0.19399999999999998,0.635,0.075,2020-21
6144,Lauri Markkanen,CHI,24,213.36,108.86208,Arizona,Finland,2017,1,7,51,13.6,5.3,0.9,-2.8,0.027000000000000003,0.17300000000000001,0.19699999999999998,0.619,0.051,2020-21
3004,Mike Conley,UTA,34,185.42,79.3786,Ohio State,USA,2007,1,4,72,13.7,3,5.3,7.7,0.023,0.079,0.20199999999999999,0.5720000000000001,0.281,2021-22
5617,Josh Richardson,PHI,26,195.58,90.7184,Tennessee,USA,2015,2,40,55,13.7,3.2,2.9,3.3,0.023,0.075,0.2,0.5329999999999999,0.138,2019-20
9307,Luguentz Dort,OKC,24,193.04,99.79024,Arizona State,Canada,Undrafted,Undrafted,Undrafted,74,13.7,4.6,2.1,0.9,0.053,0.092,0.19399999999999998,0.513,0.09,2022-23
5426,Spencer Dinwiddie,DAL,29,198.12,97.52228000000001,Colorado,USA,2014,2,38,67,13.7,4.2,5.2,-1,0.022000000000000002,0.111,0.20800000000000002,0.5429999999999999,0.27,2021-22
6177,Malik Monk,LAL,24,190.5,90.7184,Kentucky,USA,2017,1,11,76,13.8,3.4,2.9,0.3,0.017,0.099,0.195,0.597,0.14400000000000002,2021-22
6557,Rui Hachimura,WAS,23,203.2,104.32616,Gonzaga,Japan,2019,1,9,57,13.8,5.5,1.4,-2.8,0.026000000000000002,0.139,0.18,0.5489999999999999,0.062,2020-21
6786,Saddiq Bey,ATL,24,200.66,97.52228000000001,Villanova,USA,2020,1,19,77,13.8,4.7,1.5,-3.1,0.044000000000000004,0.127,0.19399999999999998,0.564,0.08,2022-23
327,Clint Capela,ATL,26,208.28,108.86208,None,Switzerland,2014,1,25,39,13.9,13.8,1.2,2.5,0.11800000000000001,0.265,0.156,0.626,0.055999999999999994,2019-20
305,Chris Paul,PHX,38,182.88,79.3786,Wake Forest,USA,2005,1,4,59,13.9,4.3,8.9,2.3,0.013999999999999999,0.11800000000000001,0.195,0.555,0.389,2022-23
161,Bogdan Bogdanovic,ATL,30,195.58,102.0582,None,Serbia,2014,1,27,54,14,3.1,2.8,1.2,0.015,0.093,0.196,0.586,0.134,2022-23
6209,Markelle Fultz,ORL,25,193.04,94.800728,Washington,USA,2017,1,1,60,14,3.9,5.7,-3.7,0.038,0.095,0.20800000000000002,0.564,0.29,2022-23
846,Jabari Parker,SAC,25,203.2,111.13004,Duke,USA,2014,1,2,38,14,5.6,1.8,-4.9,0.065,0.17,0.233,0.5710000000000001,0.11,2019-20
9013,Luguentz Dort,OKC,22,190.5,97.52228000000001,Arizona State,Canada,Undrafted,Undrafted,Undrafted,52,14,3.6,1.7,-7.2,0.023,0.092,0.218,0.513,0.09,2020-21
650,Eric Paschall,GSW,23,198.12,115.66596000000001,Villanova,USA,2019,2,41,60,14,4.6,2.1,-10.6,0.047,0.11599999999999999,0.207,0.5710000000000001,0.126,2019-20
5383,Joe Harris,BKN,29,198.12,99.79024,Virginia,USA,2014,2,33,69,14.1,3.6,1.9,6.9,0.021,0.09,0.157,0.6629999999999999,0.081,2020-21
157,Bobby Portis,MIL,28,210.82,113.398,Arkansas,USA,2015,1,22,70,14.1,9.6,1.5,-0.1,0.08,0.263,0.21100000000000002,0.575,0.087,2022-23
